indicator_code,attribute,attribute_complexity,attribute_dimension,indicator_attribute_score,assessment_c,assessment_principle,assessment,principle,indicator
ERA 1.2.2,Adaptive,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest control rules
ERA 1.2.2,Age structure,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest control rules
ERA 1.2.2,Agency,single-c,Socio-economic,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest control rules
ERA 1.2.2,Cross-scale integration,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest control rules
ERA 1.2.2,Ecosystem connectivity,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest control rules
ERA 1.2.2,Habitat diversity,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest control rules
ERA 1.2.2,Participatory,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest control rules
ERA 1.2.2,Polycentric,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest control rules
ERA 1.2.2,Population abundance,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest control rules
ERA 1.2.2,Resilience mindset,single-c,Socio-economic,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest control rules
ERA 1.2.2,Responsive,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest control rules
ERA 1.2.2,Species diversity,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest control rules
ERA 1.2.2,Wealth and reserves,single-c,Socio-economic,0,Management,ERA_P1,ERA,Sustainable fish stocks,Harvest control rules
ERA 1.2.3,Knowledge diversity,single-c,Socio-economic,1,Management,ERA_P1,ERA,Sustainable fish stocks,Information and monitoring
ERA 1.2.3,Adaptive,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Information and monitoring
ERA 1.2.3,Age structure,single-c,Ecological,1,Management,ERA_P1,ERA,Sustainable fish stocks,Information and monitoring
ERA 1.2.3,Agency,single-c,Socio-economic,0,Management,ERA_P1,ERA,Sustainable fish stocks,Information and monitoring
ERA 1.2.3,Cross-scale integration,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Information and monitoring
ERA 1.2.3,Ecosystem connectivity,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Information and monitoring
ERA 1.2.3,Habitat diversity,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Information and monitoring
ERA 1.2.3,Participatory,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Information and monitoring
ERA 1.2.3,Polycentric,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Information and monitoring
ERA 1.2.3,Population abundance,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Information and monitoring
ERA 1.2.3,Resilience mindset,single-c,Socio-economic,0,Management,ERA_P1,ERA,Sustainable fish stocks,Information and monitoring
ERA 1.2.3,Responsive,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Information and monitoring
ERA 1.2.3,Species diversity,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Information and monitoring
ERA 1.2.3,Wealth and reserves,single-c,Socio-economic,0,Management,ERA_P1,ERA,Sustainable fish stocks,Information and monitoring
ERA 1.2.4,Knowledge diversity,single-c,Socio-economic,1,Management,ERA_P1,ERA,Sustainable fish stocks,Assessment of stock status
ERA 1.2.4,Adaptive,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Assessment of stock status
ERA 1.2.4,Age structure,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Assessment of stock status
ERA 1.2.4,Agency,single-c,Socio-economic,0,Management,ERA_P1,ERA,Sustainable fish stocks,Assessment of stock status
ERA 1.2.4,Cross-scale integration,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Assessment of stock status
ERA 1.2.4,Ecosystem connectivity,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Assessment of stock status
ERA 1.2.4,Habitat diversity,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Assessment of stock status
ERA 1.2.4,Participatory,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Assessment of stock status
ERA 1.2.4,Polycentric,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Assessment of stock status
ERA 1.2.4,Population abundance,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Assessment of stock status
ERA 1.2.4,Resilience mindset,single-c,Socio-economic,0,Management,ERA_P1,ERA,Sustainable fish stocks,Assessment of stock status
ERA 1.2.4,Responsive,single-c,Governance,0,Management,ERA_P1,ERA,Sustainable fish stocks,Assessment of stock status
ERA 1.2.4,Species diversity,single-c,Ecological,0,Management,ERA_P1,ERA,Sustainable fish stocks,Assessment of stock status
ERA 1.2.4,Wealth and reserves,single-c,Socio-economic,0,Management,ERA_P1,ERA,Sustainable fish stocks,Assessment of stock status
ERA 2.2.1,Knowledge diversity,single-c,Socio-economic,0,Other species,ERA_P2,ERA,Minimising impacts,Other species outcome
ERA 2.2.1,Adaptive,single-c,Governance,0,Other species,ERA_P2,ERA,Minimising impacts,Other species outcome
ERA 2.2.1,Age structure,single-c,Ecological,0,Other species,ERA_P2,ERA,Minimising impacts,Other species outcome
ERA 2.2.1,Agency,single-c,Socio-economic,0,Other species,ERA_P2,ERA,Minimising impacts,Other species outcome
ERA 2.2.1,Cross-scale integration,single-c,Governance,0,Other species,ERA_P2,ERA,Minimising impacts,Other species outcome
ERA 2.2.1,Ecosystem connectivity,single-c,Ecological,0,Other species,ERA_P2,ERA,Minimising impacts,Other species outcome
ERA 2.2.1,Habitat diversity,single-c,Ecological,0,Other species,ERA_P2,ERA,Minimising impacts,Other species outcome
ERA 2.2.1,Participatory,single-c,Governance,0,Other species,ERA_P2,ERA,Minimising impacts,Other species outcome
ERA 2.2.1,Polycentric,single-c,Governance,0,Other species,ERA_P2,ERA,Minimising impacts,Other species outcome
ERA 2.2.1,Population abundance,single-c,Ecological,0,Other species,ERA_P2,ERA,Minimising impacts,Other species outcome
ERA 2.2.1,Resilience mindset,single-c,Socio-economic,0,Other species,ERA_P2,ERA,Minimising impacts,Other species outcome
ERA 2.2.1,Responsive,single-c,Governance,0,Other species,ERA_P2,ERA,Minimising impacts,Other species outcome
ERA 2.2.1,Species diversity,single-c,Ecological,1,Other species,ERA_P2,ERA,Minimising impacts,Other species outcome
ERA 2.2.1,Wealth and reserves,single-c,Socio-economic,0,Other species,ERA_P2,ERA,Minimising impacts,Other species outcome
ERA 2.2.2,Knowledge diversity,single-c,Socio-economic,0,Other species,ERA_P2,ERA,Minimising impacts,Other species management
ERA 2.2.2,Adaptive,single-c,Governance,0,Other species,ERA_P2,ERA,Minimising impacts,Other species management
ERA 2.2.2,Age structure,single-c,Ecological,0,Other species,ERA_P2,ERA,Minimising impacts,Other species management
ERA 2.2.2,Agency,single-c,Socio-economic,0,Other species,ERA_P2,ERA,Minimising impacts,Other species management
ERA 2.2.2,Cross-scale integration,single-c,Governance,0,Other species,ERA_P2,ERA,Minimising impacts,Other species management
ERA 2.2.2,Ecosystem connectivity,single-c,Ecological,0,Other species,ERA_P2,ERA,Minimising impacts,Other species management
ERA 2.2.2,Habitat diversity,single-c,Ecological,0,Other species,ERA_P2,ERA,Minimising impacts,Other species management
ERA 2.2.2,Participatory,single-c,Governance,0,Other species,ERA_P2,ERA,Minimising impacts,Other species management
ERA 2.2.2,Polycentric,single-c,Governance,0,Other species,ERA_P2,ERA,Minimising impacts,Other species management
ERA 2.2.2,Population abundance,single-c,Ecological,0,Other species,ERA_P2,ERA,Minimising impacts,Other species management
ERA 2.2.2,Resilience mindset,single-c,Socio-economic,0,Other species,ERA_P2,ERA,Minimising impacts,Other species management
ERA 2.2.2,Responsive,single-c,Governance,0,Other species,ERA_P2,ERA,Minimising impacts,Other species management
ERA 2.2.2,Species diversity,single-c,Ecological,0,Other species,ERA_P2,ERA,Minimising impacts,Other species management
ERA 2.2.2,Wealth and reserves,single-c,Socio-economic,0,Other species,ERA_P2,ERA,Minimising impacts,Other species management
ERA 2.2.3,Knowledge diversity,single-c,Socio-economic,1,Other species,ERA_P2,ERA,Minimising impacts,Other species information
ERA 2.2.3,Adaptive,single-c,Governance,0,Other species,ERA_P2,ERA,Minimising impacts,Other species information
ERA 2.2.3,Age structure,single-c,Ecological,0,Other species,ERA_P2,ERA,Minimising impacts,Other species information
ERA 2.2.3,Agency,single-c,Socio-economic,0,Other species,ERA_P2,ERA,Minimising impacts,Other species information
ERA 2.2.3,Cross-scale integration,single-c,Governance,0,Other species,ERA_P2,ERA,Minimising impacts,Other species information
ERA 2.2.3,Ecosystem connectivity,single-c,Ecological,0,Other species,ERA_P2,ERA,Minimising impacts,Other species information
ERA 2.2.3,Habitat diversity,single-c,Ecological,0,Other species,ERA_P2,ERA,Minimising impacts,Other species information
ERA 2.2.3,Participatory,single-c,Governance,0,Other species,ERA_P2,ERA,Minimising impacts,Other species information
ERA 2.2.3,Polycentric,single-c,Governance,0,Other species,ERA_P2,ERA,Minimising impacts,Other species information
ERA 2.2.3,Population abundance,single-c,Ecological,0,Other species,ERA_P2,ERA,Minimising impacts,Other species information
ERA 2.2.3,Resilience mindset,single-c,Socio-economic,0,Other species,ERA_P2,ERA,Minimising impacts,Other species information
ERA 2.2.3,Responsive,single-c,Governance,0,Other species,ERA_P2,ERA,Minimising impacts,Other species information
ERA 2.2.3,Species diversity,single-c,Ecological,0,Other species,ERA_P2,ERA,Minimising impacts,Other species information
ERA 2.2.3,Wealth and reserves,single-c,Socio-economic,0,Other species,ERA_P2,ERA,Minimising impacts,Other species information
ERA 2.3.1,Knowledge diversity,single-c,Socio-economic,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species outcome
ERA 2.3.1,Adaptive,single-c,Governance,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species outcome
ERA 2.3.1,Age structure,single-c,Ecological,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species outcome
ERA 2.3.1,Agency,single-c,Socio-economic,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species outcome
ERA 2.3.1,Cross-scale integration,single-c,Governance,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species outcome
ERA 2.3.1,Ecosystem connectivity,single-c,Ecological,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species outcome
ERA 2.3.1,Habitat diversity,single-c,Ecological,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species outcome
ERA 2.3.1,Participatory,single-c,Governance,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species outcome
ERA 2.3.1,Polycentric,single-c,Governance,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species outcome
ERA 2.3.1,Population abundance,single-c,Ecological,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species outcome
ERA 2.3.1,Resilience mindset,single-c,Socio-economic,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species outcome
ERA 2.3.1,Responsive,single-c,Governance,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species outcome
ERA 2.3.1,Species diversity,single-c,Ecological,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species outcome
ERA 2.3.1,Wealth and reserves,single-c,Socio-economic,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species outcome
ERA 2.3.2,Knowledge diversity,single-c,Socio-economic,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species management
ERA 2.3.2,Adaptive,single-c,Governance,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species management
ERA 2.3.2,Age structure,single-c,Ecological,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species management
ERA 2.3.2,Agency,single-c,Socio-economic,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species management
ERA 2.3.2,Cross-scale integration,single-c,Governance,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species management
ERA 2.3.2,Ecosystem connectivity,single-c,Ecological,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species management
ERA 2.3.2,Habitat diversity,single-c,Ecological,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species management
ERA 2.3.2,Participatory,single-c,Governance,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species management
ERA 2.3.2,Polycentric,single-c,Governance,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species management
ERA 2.3.2,Population abundance,single-c,Ecological,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species management
ERA 2.3.2,Resilience mindset,single-c,Socio-economic,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species management
ERA 2.3.2,Responsive,single-c,Governance,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species management
ERA 2.3.2,Species diversity,single-c,Ecological,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species management
ERA 2.3.2,Wealth and reserves,single-c,Socio-economic,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species management
ERA 2.3.3,Knowledge diversity,single-c,Socio-economic,1,ETP species,ERA_P2,ERA,Minimising impacts,ETP species information
ERA 2.3.3,Adaptive,single-c,Governance,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species information
ERA 2.3.3,Age structure,single-c,Ecological,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species information
ERA 2.3.3,Agency,single-c,Socio-economic,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species information
ERA 2.3.3,Cross-scale integration,single-c,Governance,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species information
ERA 2.3.3,Ecosystem connectivity,single-c,Ecological,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species information
ERA 2.3.3,Habitat diversity,single-c,Ecological,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species information
ERA 2.3.3,Participatory,single-c,Governance,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species information
ERA 2.3.3,Polycentric,single-c,Governance,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species information
ERA 2.3.3,Population abundance,single-c,Ecological,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species information
ERA 2.3.3,Resilience mindset,single-c,Socio-economic,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species information
ERA 2.3.3,Responsive,single-c,Governance,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species information
ERA 2.3.3,Species diversity,single-c,Ecological,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species information
ERA 2.3.3,Wealth and reserves,single-c,Socio-economic,0,ETP species,ERA_P2,ERA,Minimising impacts,ETP species information
ERA 2.4.1,Knowledge diversity,single-c,Socio-economic,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats outcome
ERA 2.4.1,Adaptive,single-c,Governance,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats outcome
ERA 2.4.1,Age structure,single-c,Ecological,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats outcome
ERA 2.4.1,Agency,single-c,Socio-economic,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats outcome
ERA 2.4.1,Cross-scale integration,single-c,Governance,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats outcome
ERA 2.4.1,Ecosystem connectivity,single-c,Ecological,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats outcome
ERA 2.4.1,Habitat diversity,single-c,Ecological,1,Habitats,ERA_P2,ERA,Minimising impacts,Habitats outcome
ERA 2.4.1,Participatory,single-c,Governance,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats outcome
ERA 2.4.1,Polycentric,single-c,Governance,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats outcome
ERA 2.4.1,Population abundance,single-c,Ecological,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats outcome
ERA 2.4.1,Resilience mindset,single-c,Socio-economic,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats outcome
ERA 2.4.1,Responsive,single-c,Governance,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats outcome
ERA 2.4.1,Species diversity,single-c,Ecological,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats outcome
ERA 2.4.1,Wealth and reserves,single-c,Socio-economic,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats outcome
ERA 2.4.2,Knowledge diversity,single-c,Socio-economic,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats management
ERA 2.4.2,Adaptive,single-c,Governance,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats management
ERA 2.4.2,Age structure,single-c,Ecological,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats management
ERA 2.4.2,Agency,single-c,Socio-economic,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats management
ERA 2.4.2,Cross-scale integration,single-c,Governance,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats management
ERA 2.4.2,Ecosystem connectivity,single-c,Ecological,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats management
ERA 2.4.2,Habitat diversity,single-c,Ecological,1,Habitats,ERA_P2,ERA,Minimising impacts,Habitats management
ERA 2.4.2,Participatory,single-c,Governance,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats management
ERA 2.4.2,Polycentric,single-c,Governance,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats management
ERA 2.4.2,Population abundance,single-c,Ecological,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats management
ERA 2.4.2,Resilience mindset,single-c,Socio-economic,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats management
ERA 2.4.2,Responsive,single-c,Governance,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats management
ERA 2.4.2,Species diversity,single-c,Ecological,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats management
ERA 2.4.2,Wealth and reserves,single-c,Socio-economic,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats management
ERA 2.4.3,Knowledge diversity,single-c,Socio-economic,1,Habitats,ERA_P2,ERA,Minimising impacts,Habitats information
ERA 2.4.3,Adaptive,single-c,Governance,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats information
ERA 2.4.3,Age structure,single-c,Ecological,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats information
ERA 2.4.3,Agency,single-c,Socio-economic,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats information
ERA 2.4.3,Cross-scale integration,single-c,Governance,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats information
ERA 2.4.3,Ecosystem connectivity,single-c,Ecological,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats information
ERA 2.4.3,Habitat diversity,single-c,Ecological,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats information
ERA 2.4.3,Participatory,single-c,Governance,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats information
ERA 2.4.3,Polycentric,single-c,Governance,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats information
ERA 2.4.3,Population abundance,single-c,Ecological,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats information
ERA 2.4.3,Resilience mindset,single-c,Socio-economic,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats information
ERA 2.4.3,Responsive,single-c,Governance,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats information
ERA 2.4.3,Species diversity,single-c,Ecological,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats information
ERA 2.4.3,Wealth and reserves,single-c,Socio-economic,0,Habitats,ERA_P2,ERA,Minimising impacts,Habitats information
ERA 2.5.1,Knowledge diversity,single-c,Socio-economic,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem outcome
ERA 2.5.1,Adaptive,single-c,Governance,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem outcome
ERA 2.5.1,Age structure,single-c,Ecological,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem outcome
ERA 2.5.1,Agency,single-c,Socio-economic,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem outcome
ERA 2.5.1,Cross-scale integration,single-c,Governance,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem outcome
ERA 2.5.1,Ecosystem connectivity,single-c,Ecological,1,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem outcome
ERA 2.5.1,Habitat diversity,single-c,Ecological,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem outcome
ERA 2.5.1,Participatory,single-c,Governance,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem outcome
ERA 2.5.1,Polycentric,single-c,Governance,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem outcome
ERA 2.5.1,Population abundance,single-c,Ecological,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem outcome
ERA 2.5.1,Resilience mindset,single-c,Socio-economic,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem outcome
ERA 2.5.1,Responsive,single-c,Governance,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem outcome
ERA 2.5.1,Species diversity,single-c,Ecological,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem outcome
ERA 2.5.1,Wealth and reserves,single-c,Socio-economic,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem outcome
ERA 2.5.2,Knowledge diversity,single-c,Socio-economic,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem management
ERA 2.5.2,Adaptive,single-c,Governance,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem management
ERA 2.5.2,Age structure,single-c,Ecological,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem management
ERA 2.5.2,Agency,single-c,Socio-economic,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem management
ERA 2.5.2,Cross-scale integration,single-c,Governance,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem management
ERA 2.5.2,Ecosystem connectivity,single-c,Ecological,0,Ecosystem,ERA_P2,ERA,Minimising impacts,Ecosystem management
